dma_name,geometry,pipe_size
DM-13-07-06-01,POINT (676211.8642001082 1507571.766699998),200.0
DM-13-07-05-03,POINT (672685.2904001004 1509395.619699997),0.0
DM-13-07-04-02,POINT (676385.087900108 1510623.411399996),300.0
DM-13-07-04-01,POINT (674579.3668001036 1511094.637399996),300.0
DM-13-07-03-02,POINT (676992.8558001115 1510466.653399999),300.0
DM-13-07-03-01,POINT (677476.2868001113 1509787.274999997),300.0
DM-13-07-02-01,POINT (676399.7551001079 1510641.536899998),300.0
DM-13-07-01-03,POINT (673500.4195001004 1511412.651999999),300.0
DM-13-07-01-02,POINT (674581.5190001045 1511114.691199997),300.0
DM-13-07-01-01,POINT (674262.2719001016 1510750.901399997),300.0
DM-13-06-04-03,POINT (676946.1411001103 1508782.768399999),300.0
DM-13-06-04-02,POINT (676245.7486001106 1507551.226499997),300.0
DM-13-06-04-01,POINT (676744.8532001092 1508437.104499996),300.0
DM-13-06-02-03,POINT (680018.9748001217 1510652.759299995),300.0
DM-13-06-02-02,POINT (679628.1023001214 1510863.603599997),400.0
DM-13-06-02-01,POINT (681361.3316001275 1509900.539999997),300.0
DM-13-06-01-02,POINT (676958.1269001102 1508803.656999996),300.0
DM-13-06-01-01,POINT (677508.2694001128 1509768.763399997),300.0
DM-13-05-09-04,POINT (683803.9615001354 1511711.322099997),400.0
DM-13-05-09-03,POINT (683715.281700135 1511772.006199997),400.0
DM-13-05-09-02,POINT (682085.8058001291 1511661.001499997),400.0
DM-13-05-09-01,POINT (682096.0943001296 1511660.076399996),400.0
DM-13-05-08-03,POINT (683086.1582001329 1510458.997199996),400.0
DM-13-05-08-01,POINT (681415.8239001278 1509981.686399998),400.0
DM-13-05-07-02,POINT (677900.9604001157 1511415.825899997),300.0
DM-13-05-07-01,POINT (678711.5467001169 1511255.542899997),300.0
DM-13-05-06-02,POINT (679160.6043001169 1512610.983999996),0.0
DM-13-05-06-01,POINT (680056.2779001205 1513080.336799996),0.0
DM-13-05-05-01,POINT (678130.3119001152 1512679.389599998),300.0
DM-13-05-04-03,POINT (680882.019200123 1514571.417299999),300.0
DM-13-05-04-02,POINT (683740.4971001353 1512991.938899997),400.0
DM-13-05-04-01,POINT (680392.7419001253 1513675.433299996),300.0
DM-13-05-03-01,POINT (679161.9967001177 1512628.470199997),200.0
DM-13-05-02-02,POINT (681924.2963001265 1515167.233099998),300.0
DM-13-05-02-01,POINT (681917.5379001272 1515150.560299998),300.0
