,BANGPLEE,LADKRABUNG,MAHASAWAT,MINBURI,PETKASEM,RATBURANA,SUMRONG,BK03,KLONGTAEY,PAHONYOTHIN,THAPRA,TONBURI,LADPRAW,LUMPINEE,BK04,SAMSEN
80,DM-17-11-05-01,DM-55-07-07-01,DM-54-05-03-01,DM-53-06-01-01,DM-11-10-15-03,DM-14-10-04-02,DM-17-01-08-03,DM-15-07-05-01,DM-13-01-04-05,,DM-11-03-05-01,,DM-12-04-01-02,DM-05-05-13-01,DM-16-03-06-01,DM-06-05-10-03
81,DM-17-11-05-02,DM-55-07-07-02,DM-54-06-01-02,DM-53-06-01-02,DM-11-10-15-04,DM-14-10-05-01,DM-17-01-09-01,DM-15-07-06-01,DM-13-01-05-01,,DM-11-03-06-01,,DM-12-04-02-01,DM-05-05-14-01,DM-16-04-01-01,DM-06-06-05-01
82,DM-17-11-06-01,DM-55-08-01-01,DM-54-07-01-01,DM-53-06-02-01,DM-11-10-16-02,DM-14-10-05-02,DM-17-03-01-01,DM-15-08-01-01,DM-13-01-05-02,,DM-11-03-06-02,,DM-12-04-02-02,DM-05-05-14-02,DM-16-04-01-02,DM-06-06-05-03
83,DM-17-11-06-02,DM-55-08-01-02,DM-54-07-02-01,DM-53-06-03-01,DM-11-10-16-03,DM-14-10-06-01,DM-17-03-01-02,DM-15-08-02-01,DM-13-01-06-01,,DM-11-03-10-01,,DM-12-04-03-01,DM-06-04-03-02,DM-16-04-02-01,DM-06-06-06-04
84,DM-55-06-01-01,DM-55-08-02-01,DM-54-07-03-01,DM-53-06-04-01,DM-11-10-16-04,DM-14-10-07-01,DM-17-03-02-01,DM-15-08-03-01,DM-13-01-06-02,,DM-11-03-33-01,,DM-12-04-03-02,DM-06-04-06-01,DM-16-04-02-02,DM-06-06-08-01
85,DM-55-06-01-02,DM-55-08-02-02,DM-54-07-04-01,DM-53-06-05-01,DM-11-10-58-01,DM-14-10-07-02,DM-17-03-03-01,DM-15-08-04-01,DM-13-01-07-01,,DM-11-03-34-01,,DM-12-04-04-01,DM-06-04-06-03,DM-16-04-03-01,DM-06-06-08-02
86,DM-55-06-02-01,DM-55-08-03-01,DM-54-07-05-01,DM-53-06-05-02,DM-11-10-58-02,DM-14-11-04-01,DM-17-03-03-03,DM-15-08-05-01,DM-13-01-07-02,,DM-11-03-39-01,,DM-12-04-04-03,DM-06-04-06-04,DM-16-04-03-02,DM-03-03-13-01
87,DM-55-06-02-02,DM-55-09-01-02,DM-54-08-01-01,DM-53-06-06-01,DM-11-10-59-01,DM-14-11-05-01,DM-17-03-04-01,DM-15-08-06-01,DM-13-01-08-01,,DM-11-03-42-01,,DM-12-04-05-01,DM-06-04-06-05,DM-16-04-04-01,DM-06-04-03-01
88,DM-55-06-03-01,DM-55-09-03-01,DM-54-08-02-01,DM-53-08-01-01,DM-11-10-60-01,DM-14-11-05-02,DM-17-03-04-02,DM-15-08-06-02,DM-13-01-09-01,,DM-11-03-42-02,,DM-12-04-05-02,DM-06-04-07-01,DM-16-05-01-01,DM-06-06-01-01
89,DM-55-06-03-02,,DM-54-08-03-01,DM-53-08-01-02,DM-11-10-61-01,DM-14-11-06-02,DM-17-03-05-02,DM-15-08-06-03,DM-13-02-01-01,,DM-11-03-43-01,,DM-12-04-06-01,DM-06-04-07-02,DM-16-05-02-01,DM-06-06-01-02
